epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1136.52,1.31097,1.44643,0.00274,0.88898,0.72498,0.79411,0.37797,2.072,3.58583,0.00547,0.000372616,0.000372616,0.000372616
76,1151.97,1.31983,1.5787,0.00315,0.91282,0.71917,0.80836,0.41454,1.94117,3.42365,0.00495,0.000369705,0.000369705,0.000369705
77,1166.87,1.23706,1.47532,0.00283,0.90625,0.69041,0.79232,0.39208,1.99735,3.53221,0.00513,0.000366794,0.000366794,0.000366794
78,1181.6,1.37378,1.60668,0.00294,0.88484,0.70606,0.79533,0.39342,1.9873,3.69819,0.00502,0.000363884,0.000363884,0.000363884
79,1196.5,1.29253,1.39325,0.00284,0.86546,0.71878,0.8025,0.43502,1.88853,3.60879,0.00484,0.000360973,0.000360973,0.000360973
80,1211.6,1.27435,1.32221,0.00278,0.88487,0.7238,0.81062,0.42151,1.95068,3.43447,0.00494,0.000358063,0.000358063,0.000358063
81,1226.51,1.31303,1.37561,0.00273,0.87995,0.73116,0.80258,0.37322,2.04878,3.60279,0.00512,0.000355152,0.000355152,0.000355152
82,1241.43,1.29065,1.30971,0.00265,0.90597,0.73076,0.81792,0.43926,1.89682,3.37397,0.00492,0.000352241,0.000352241,0.000352241
83,1256.45,1.25264,1.28579,0.00274,0.89733,0.71697,0.80369,0.41192,1.9582,3.34152,0.00491,0.000349331,0.000349331,0.000349331
84,1271.26,1.26024,1.3948,0.00288,0.87343,0.72911,0.80373,0.4123,1.94234,3.26849,0.0049,0.00034642,0.00034642,0.00034642
85,1286.08,1.20421,1.18314,0.00239,0.91065,0.67231,0.78127,0.40199,1.96559,3.49562,0.00497,0.00034351,0.00034351,0.00034351
86,1300.84,1.26665,1.31015,0.00281,0.9044,0.7253,0.8075,0.40615,2.00181,3.35329,0.0052,0.000340599,0.000340599,0.000340599
87,1315.54,1.26633,1.26641,0.00274,0.93883,0.70538,0.81825,0.45275,1.80805,3.16682,0.00463,0.000337688,0.000337688,0.000337688
88,1330.44,1.25916,1.34858,0.00285,0.91912,0.72288,0.8148,0.46487,1.79417,3.25429,0.00456,0.000334778,0.000334778,0.000334778
89,1345.5,1.21891,1.20222,0.00263,0.89356,0.72721,0.8071,0.3837,2.06244,3.40873,0.00537,0.000331867,0.000331867,0.000331867
90,1360.36,1.25536,1.29632,0.00278,0.90854,0.69312,0.79237,0.33642,2.2116,3.49007,0.00569,0.000328957,0.000328957,0.000328957
91,1375.17,1.20705,1.19481,0.00275,0.88568,0.71646,0.80335,0.39648,2.03838,3.38153,0.00527,0.000326046,0.000326046,0.000326046
92,1389.93,1.20031,1.21206,0.00247,0.90477,0.73183,0.81469,0.42808,1.92891,3.23047,0.00492,0.000323135,0.000323135,0.000323135
93,1404.96,1.18855,1.20064,0.00266,0.89881,0.7268,0.81833,0.46373,1.83364,3.09097,0.00476,0.000320225,0.000320225,0.000320225
94,1420.05,1.19186,1.19178,0.00272,0.92118,0.7359,0.82646,0.42452,1.91549,3.09311,0.00488,0.000317314,0.000317314,0.000317314
95,1434.94,1.20455,1.29439,0.00258,0.89336,0.74347,0.82783,0.46552,1.84624,3.11683,0.00482,0.000314404,0.000314404,0.000314404
96,1449.9,1.22416,1.21515,0.00274,0.90276,0.71858,0.80417,0.40459,1.99369,3.47043,0.00514,0.000311493,0.000311493,0.000311493
97,1464.71,1.23414,1.2784,0.00276,0.90104,0.70903,0.80469,0.43283,1.91342,3.34511,0.00491,0.000308582,0.000308582,0.000308582
98,1479.54,1.20521,1.1655,0.00248,0.88995,0.7367,0.81178,0.39945,2.04566,3.33968,0.00537,0.000305672,0.000305672,0.000305672
99,1494.32,1.16924,1.12466,0.00262,0.88252,0.71112,0.80094,0.39749,2.01812,3.31404,0.00515,0.000302761,0.000302761,0.000302761
100,1509.39,1.15334,1.08065,0.00244,0.93543,0.71509,0.81102,0.41782,1.99854,3.21469,0.00517,0.000299851,0.000299851,0.000299851
101,1524.23,1.13545,1.15082,0.0024,0.90749,0.74045,0.82983,0.44946,1.8962,2.94017,0.00484,0.00029694,0.00029694,0.00029694
102,1539.19,1.1404,1.07406,0.00252,0.91736,0.74467,0.83503,0.42621,1.98716,3.17568,0.00516,0.000294029,0.000294029,0.000294029
103,1554.06,1.17575,1.09415,0.00262,0.92385,0.73828,0.82705,0.44591,1.89359,3.01706,0.00488,0.000291119,0.000291119,0.000291119
104,1568.87,1.18359,1.17063,0.0026,0.91376,0.72455,0.81582,0.41381,1.98942,3.09228,0.00509,0.000288208,0.000288208,0.000288208
105,1583.67,1.13823,1.11228,0.00253,0.90154,0.72598,0.81078,0.43485,1.95804,3.17851,0.00501,0.000285298,0.000285298,0.000285298
106,1598.54,1.12379,1.01713,0.00253,0.89953,0.74411,0.81999,0.41058,1.98569,3.22704,0.00516,0.000282387,0.000282387,0.000282387
107,1613.27,1.10595,0.99935,0.00234,0.92265,0.73053,0.82434,0.40144,2.06011,3.13653,0.00527,0.000279476,0.000279476,0.000279476
108,1628.08,1.16329,1.06852,0.00264,0.89631,0.7356,0.81478,0.39374,2.02621,3.26596,0.00499,0.000276566,0.000276566,0.000276566
109,1643,1.1439,0.99685,0.00238,0.91686,0.7364,0.8254,0.43686,1.91945,3.16001,0.00492,0.000273655,0.000273655,0.000273655
110,1657.77,1.13976,1.04796,0.0023,0.89875,0.76065,0.83033,0.41962,1.98876,3.15845,0.00499,0.000270745,0.000270745,0.000270745
111,1672.75,1.15222,0.99081,0.00257,0.90202,0.72993,0.81537,0.41001,2.02219,3.37637,0.00522,0.000267834,0.000267834,0.000267834
112,1688.01,1.12721,1.03077,0.00244,0.91822,0.74179,0.83371,0.43521,1.94434,3.02988,0.00502,0.000264923,0.000264923,0.000264923
113,1702.73,1.10398,1.04896,0.00239,0.92315,0.74982,0.83554,0.40349,2.02604,3.12802,0.0051,0.000262013,0.000262013,0.000262013
114,1717.66,1.12823,0.96899,0.00236,0.90459,0.73839,0.82132,0.39714,2.06862,3.22409,0.00532,0.000259102,0.000259102,0.000259102
115,1732.7,1.1346,1.1674,0.00253,0.92105,0.73064,0.83424,0.42191,1.98802,3.1431,0.005,0.000256192,0.000256192,0.000256192
116,1747.65,1.06971,0.99657,0.00244,0.90736,0.73175,0.82582,0.41595,1.97349,3.13262,0.0049,0.000253281,0.000253281,0.000253281
117,1762.77,1.05924,0.97165,0.00261,0.90387,0.73245,0.82155,0.38943,2.08809,3.3604,0.00529,0.00025037,0.00025037,0.00025037
118,1777.57,1.10142,1.04161,0.00254,0.89065,0.758,0.83677,0.45013,1.85808,3.11874,0.00447,0.00024746,0.00024746,0.00024746
119,1792.37,1.02994,0.94444,0.00227,0.91517,0.73836,0.8298,0.40661,2.03054,3.16839,0.00508,0.000244549,0.000244549,0.000244549
120,1807.36,1.0392,0.97836,0.00228,0.9051,0.75906,0.8376,0.42606,1.94368,3.03756,0.0048,0.000241639,0.000241639,0.000241639
121,1822.24,1.06096,0.94588,0.00207,0.90655,0.74193,0.82505,0.38472,2.09372,3.28684,0.00528,0.000238728,0.000238728,0.000238728
122,1837.12,1.03991,0.9231,0.00209,0.89717,0.75628,0.8293,0.37672,2.11869,3.12962,0.00531,0.000235817,0.000235817,0.000235817
123,1851.97,1.08107,1.00104,0.00251,0.92999,0.75352,0.84131,0.4168,1.94702,3.02923,0.00467,0.000232907,0.000232907,0.000232907
124,1866.74,1.03218,0.86545,0.00225,0.90967,0.77285,0.84797,0.45741,1.83411,2.88791,0.00439,0.000229996,0.000229996,0.000229996
125,1881.48,1.02442,0.9463,0.00222,0.88996,0.768,0.83454,0.44482,1.88026,3.04604,0.00454,0.000227086,0.000227086,0.000227086
126,1896.17,1.042,0.91563,0.00216,0.92141,0.74339,0.83841,0.42566,1.93067,3.11972,0.00471,0.000224175,0.000224175,0.000224175
127,1910.84,1.01265,0.8382,0.00207,0.90641,0.76034,0.83751,0.41659,1.99908,2.98203,0.00495,0.000221264,0.000221264,0.000221264
128,1926.1,1.02955,0.99841,0.0021,0.9115,0.74207,0.83236,0.40272,2.04714,3.12014,0.00506,0.000218354,0.000218354,0.000218354
129,1941,1.01252,0.859,0.00209,0.92106,0.75875,0.83191,0.3907,2.08837,3.1976,0.00531,0.000215443,0.000215443,0.000215443
130,1955.98,0.98703,0.90938,0.00221,0.9169,0.7548,0.83766,0.41844,1.96901,3.12308,0.00477,0.000212533,0.000212533,0.000212533
131,1970.81,1.02886,0.8594,0.00205,0.92909,0.74886,0.8394,0.40611,2.03502,3.11596,0.00514,0.000209622,0.000209622,0.000209622
132,1985.61,1.0454,0.94592,0.00218,0.92657,0.75387,0.84146,0.43057,1.93604,3.09931,0.00476,0.000206711,0.000206711,0.000206711
133,2000.44,1.00285,0.89949,0.00203,0.92734,0.76075,0.84324,0.45128,1.89002,2.98535,0.00467,0.000203801,0.000203801,0.000203801
134,2015.33,0.97849,0.89527,0.0018,0.91097,0.76234,0.84573,0.46225,1.84864,2.92349,0.00446,0.00020089,0.00020089,0.00020089
135,2030.14,0.99439,0.86595,0.00204,0.91451,0.75221,0.83593,0.43235,1.91058,2.89886,0.00467,0.00019798,0.00019798,0.00019798
136,2045.05,0.97889,0.85574,0.00199,0.91481,0.75516,0.83536,0.4264,1.92169,2.98241,0.00459,0.000195069,0.000195069,0.000195069
137,2059.85,0.99149,0.85546,0.00215,0.90667,0.75498,0.83605,0.4115,1.98587,3.07324,0.00482,0.000192158,0.000192158,0.000192158
138,2074.71,0.99549,0.84554,0.00213,0.91659,0.74684,0.83582,0.40249,2.03166,3.14803,0.00504,0.000189248,0.000189248,0.000189248
139,2089.42,0.97599,0.82684,0.00204,0.91985,0.75411,0.84068,0.43336,1.92107,2.92041,0.00472,0.000186337,0.000186337,0.000186337
140,2104.24,0.96029,0.79902,0.00193,0.91681,0.76327,0.84418,0.42568,1.9387,2.96783,0.00469,0.000183427,0.000183427,0.000183427
141,2118.97,1.03919,0.95563,0.00219,0.90648,0.76385,0.84027,0.39781,2.06431,3.01242,0.00509,0.000180516,0.000180516,0.000180516
142,2133.8,0.97787,0.87368,0.00217,0.91228,0.76729,0.83856,0.4175,2.00337,2.98645,0.00501,0.000177605,0.000177605,0.000177605
143,2148.68,0.93918,0.8242,0.00197,0.92904,0.75292,0.84259,0.44648,1.90703,3.01023,0.0047,0.000174695,0.000174695,0.000174695
144,2163.5,0.97408,0.82439,0.00213,0.92081,0.75529,0.84236,0.4227,1.97085,3.13866,0.00479,0.000171784,0.000171784,0.000171784
145,2178.51,0.97733,0.84608,0.00207,0.92181,0.75131,0.83955,0.4226,1.98443,3.03525,0.00486,0.000168874,0.000168874,0.000168874
