epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2298.39,0.06745,0.08047,0.00019,0.7153,0.52755,0.63816,0.43439,1.70206,6.99252,0.00491,0.000145589,0.000145589,0.000145589
154,2313.1,0.08035,0.09286,0.00018,0.72226,0.5164,0.63966,0.43521,1.70989,7.03134,0.00495,0.000142678,0.000142678,0.000142678
155,2327.97,0.08106,0.09297,0.00019,0.71217,0.53158,0.6412,0.43632,1.69974,7.01808,0.00494,0.000139768,0.000139768,0.000139768
156,2342.69,0.07938,0.09424,0.00019,0.72613,0.52204,0.6411,0.43675,1.70181,7.02364,0.00497,0.000136857,0.000136857,0.000136857
157,2357.4,0.08543,0.10228,0.00019,0.73814,0.52222,0.64164,0.43648,1.70075,6.99246,0.00493,0.000133946,0.000133946,0.000133946
158,2372.19,0.07171,0.09364,0.00018,0.73438,0.51509,0.63883,0.4337,1.70926,7.09668,0.00484,0.000131036,0.000131036,0.000131036
159,2386.93,0.06952,0.08408,0.00018,0.72874,0.52144,0.63892,0.4337,1.7163,7.10934,0.00489,0.000128125,0.000128125,0.000128125
160,2401.7,0.07932,0.09201,0.00018,0.7385,0.51577,0.64014,0.43536,1.70989,6.99945,0.00492,0.000125215,0.000125215,0.000125215
161,2416.54,0.07083,0.08002,0.00019,0.72032,0.52445,0.64088,0.43488,1.70174,7.01104,0.00486,0.000122304,0.000122304,0.000122304
162,2431.28,0.07664,0.09066,0.0002,0.7148,0.52767,0.64173,0.43555,1.69523,7.01145,0.00485,0.000119393,0.000119393,0.000119393
163,2446,0.07374,0.0877,0.00018,0.72886,0.51751,0.64028,0.43572,1.6903,6.9933,0.00484,0.000116483,0.000116483,0.000116483
164,2460.92,0.06591,0.08232,0.00018,0.73794,0.51224,0.64011,0.43606,1.69067,7.0036,0.00487,0.000113572,0.000113572,0.000113572
165,2475.75,0.0784,0.10207,0.00018,0.73034,0.51812,0.64039,0.43656,1.6736,6.94767,0.00475,0.000110662,0.000110662,0.000110662
166,2490.53,0.07398,0.08887,0.00018,0.73287,0.5205,0.64114,0.43747,1.66619,7.04991,0.00473,0.000107751,0.000107751,0.000107751
